date,open,close,high,low
2017/10/20,212.26,211.53,211.43,212.38
2017/10/23,212.1,211.23,210.96,212.1
2017/10/24,211,212.75,211,213.28
2017/10/25,211.98,211.46,211.4,212.2
2017/10/26,211.87,212.25,211.87,212.5
2017/10/27,211.53,211.45,211.45,211.86
2017/10/30,211.1,210.79,210.5,211.1
2017/10/31,212.02,212.04,211.76,212.28
2017/11/1,211.78,211.73,211.5,212.6
2017/11/2,212.77,213.4,212.77,213.52
2017/11/3,211.7,212.17,211.7,212.28
2017/11/6,211.32,211.72,211.23,211.76
2017/11/7,213.36,213.46,213.25,213.5
2017/11/8,212.75,213.02,212.75,213.55
2017/11/9,213.49,214.12,213.49,214.22
2017/11/10,214.88,215.44,214.88,216
2017/11/13,215.61,214.37,214.37,215.61
2017/11/14,214.08,214.13,214.02,214.25
2017/11/15,213.28,213.28,213.2,213.28
2017/11/16,214.03,213.96,213.96,214.03
2017/11/17,214.39,214.51,214.39,214.55
2017/11/20,217.02,216.75,216.68,217.02
2017/11/21,215.2,213.6,213.37,215.2
2017/11/22,214.33,213.9,213.85,214.33
2017/11/23,214.33,213.71,213.37,214.33
2017/11/24,213.55,214.2,213.55,214.37
2017/11/27,214.4,214.45,214.4,214.54
2017/11/28,216.53,216.49,216.28,216.53
2017/11/29,216.81,217,216.81,217.04
2017/11/30,215.79,216.03,215.65,216.03
2017/12/1,215.22,215.08,215.1,215.39
2017/12/4,214.13,213.98,213.96,214.13
2017/12/5,213,212.23,211.85,213
2017/12/6,210.69,210.35,210.26,210.69
2017/12/7,207.5,206.75,206.6,207.5
2017/12/8,205.5,205.57,205.5,205.65
2017/12/11,206,204.79,204.5,206
2017/12/12,204.33,204.36,203.86,204.36
2017/12/13,204.75,202,202.7,204.75
2017/12/14,202.08,203.42,202.08,204.12
2017/12/15,203,202.2,202,203
2017/12/18,203.02,205.65,203.02,206.09
2017/12/19,207.12,208.68,207.12,208.76
2017/12/20,207.88,208.61,207.88,208.78
2017/12/21,209,208.85,208.8,209.1
2017/12/22,209,207.81,207.6,209
2017/12/25,209,208.83,208.8,209
2017/12/26,208.37,208.95,208.18,208.95
2017/12/27,208.82,209.23,208.79,209.29
2017/12/28,209.24,209.42,209.24,210.33
2017/12/29,209.77,209.75,209.52,209.77
2018/1/2,209.7,209.84,209.6,209.96
2018/1/3,211.12,212.15,211.12,212.26
2018/1/4,214.31,213.28,213,214.31
2018/1/5,216.26,215.88,215.6,216.26
2018/1/8,217,217.22,216.96,217.3
2018/1/9,217.22,217.15,217.1,217.22
2018/1/10,216.5,216.65,216.5,216.73
2018/1/11,218.82,219.04,218.81,219.43
2018/1/12,220.87,221.55,220.87,221.81
2018/1/15,221.49,221.81,221.38,222.06
2018/1/16,221.42,221.42,221.42,221.84
2018/1/17,223.11,222.52,222.43,223.36
2018/1/18,221.36,221.7,221.36,221.81
2018/1/19,221.5,221.71,221.43,221.81
2018/1/22,223.5,223.83,223.5,223.95
2018/1/23,220.55,220.12,220,220.65
